
LogFile started: 08/04/2026 22:55:14
Application    : DSSAT v4.8
Path/ExeName   : C:\DSSAT48\DSSAT48.exe
********************************************************************************

Entries:
00001:  [22:55:14] [08/04/2026]Initializing DSSAT Version 4.8.5.0
00002:  [22:55:18] [08/04/2026]C:\DSSAT48\SOIL
00003:  [22:55:18] [08/04/2026]C:\DSSAT48\Weather
00004:  [22:55:29] [08/04/2026]C:\DSSAT48\WEATHER\CLIMATE
00005:  [22:55:29] [08/04/2026]C:\DSSAT48\WEATHER\GEN
00006:  [22:55:29] [08/04/2026]C:\DSSAT48\WEATHER\MONTH
00007:  [22:55:29] [08/04/2026]Start GetProfileData
00008:  [22:55:29] [08/04/2026]End GetProfileData
00009:  [22:55:30] [08/04/2026]C:\DSSAT48\SOIL
00010:  [22:55:30] [08/04/2026]C:\DSSAT48\Weather
00011:  [22:55:30] [08/04/2026]C:\DSSAT48\WEATHER\CLIMATE
00012:  [22:55:31] [08/04/2026]C:\DSSAT48\WEATHER\GEN
00013:  [22:55:31] [08/04/2026]C:\DSSAT48\WEATHER\MONTH
